Rank,Name,Platform,Year,Genre,Publisher,Developer
1,Jagged Alliance 3,PC,2022,Strategy,THQ Nordic  ,Haemimont Games  
2,Diablo IV,All,2022,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  
3,Gran Turismo 7,PS4,2022,Racing,Sony Computer Entertainment  ,Polyphony Digital  
4,Gran Turismo 7,PS5,2022,Racing,Sony Interactive Entertainment  ,Polyphony Digital  
5,Horizon: Forbidden West,PS5,2022,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  
6,Horizon: Forbidden West,PS4,2022,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  
7,Pokémon Legends: Arceus,NS,2022,Role-Playing,Nintendo  ,Game Freak  
8,Monument Valley 3,All,2022,Puzzle,Ustwo Games  ,Ustwo Games  
9,Final Fantasy XVI,PS5,2021,Role-Playing,Square Enix  ,Square Enix  
10,Final Fantasy XVI,PC,2021,Role-Playing,Square Enix  ,Square Enix  
11,God of War: Ragnarök,PS5,2021,Action-Adventure,Sony Interactive Entertainment  ,Sony Computer Entertainment  
12,Hogwarts Legacy,PS5,2021,Action,Warner Bros. Interactive Entertainment  ,Avalanche Studios  
13,Metroid Prime 4,NS,2021,Action-Adventure,Nintendo  ,Nintendo  
14,S.T.A.L.K.E.R. 2,PC,2021,Shooter,GSC Game World  ,GSC Game World  
15,Shin Megami Tensei V,NS,2021,Role-Playing,Atlus  ,Atlus  
16,Vampire: The Masquerade - Bloodlines 2,PC,2021,Action,Paradox Interactive   ,Hardsuit Labs  
17,Vampire: The Masquerade - Bloodlines 2,XOne,2021,Action-Adventure,Paradox Interactive   ,Hardsuit Labs  
18,Vampire: The Masquerade - Bloodlines 2,PS4,2021,Action-Adventure,Paradox Interactive   ,Hardsuit Labs  
19,Halo Infinite,XOne,2021,Shooter,Microsoft Studios  ,343 Industries  
20,Halo Infinite,PC,2021,Shooter,Microsoft Studios  ,343 Industries  
21,Halo Infinite,XS,2021,Shooter,Xbox Game Studios  ,Microsoft Game Studios  
22,Stray,PS5,2021,Action-Adventure,Annapurna Interactive  ,Blue Twelve Studio  
23,30XX,PC,2021,Platform,Batterystaple Games  ,Batterystaple Games  
24,As Dusk Falls,XS,2021,Adventure,Xbox Game Studios  ,Interior/Night  
25,Balan Wonderworld,XS,2021,Platform,Square Enix  ,Square Enix  
26,Balan Wonderworld,XOne,2021,Platform,Square Enix  ,Square Enix  
27,Balan Wonderworld,PS5,2021,Platform,Square Enix  ,Square Enix  
28,Balan Wonderworld,PS4,2021,Platform,Square Enix  ,Square Enix  
29,Balan Wonderworld,PC,2021,Platform,Square Enix  ,Square Enix  
30,Battlefield VI,XS,2021,Shooter,Electronic Arts  ,EA DICE  
31,Battlefield VI,PS5,2021,Shooter,Electronic Arts  ,EA DICE  
32,Battlefield VI,PC,2021,Shooter,Electronic Arts  ,EA DICE  
